t,interestrate
1,7.93
2,8.07
3,8.32
4,8.25
5,8
6,8.23
7,7.92
8,7.62
9,7.6
10,7.82
11,7.65
12,7.9
13,8.14
14,7.94
15,7.69
16,7.5
17,7.48
18,7.43
19,7.29
20,7.21
21,7.1
22,6.99
23,7.04
24,7.13
25,7.14
26,7.14
27,7
28,6.95
29,6.92
30,6.72
31,6.71
32,6.87
33,6.72
34,6.79
35,6.81
36,7.04
37,6.92
38,7.15
39,7.55
40,7.63
41,7.94
42,7.82
43,7.85
44,7.74
45,7.91
46,8.21
47,8.33
48,8.24
49,8.15
50,8.52
51,8.29
52,8.15
53,8.03
54,7.91
55,7.8
56,7.75
57,7.38
58,7.03
59,7.05
60,6.95
61,7.08
62,7.15
63,7.16
64,7.13
65,6.95
66,6.82
67,6.62
68,6.66
69,7.07
70,7
71,6.89
72,7.01
73,6.99
74,6.81
75,6.65
76,6.49
77,6.29
78,6.09
79,6.11
80,6.07
81,6.05
82,5.92
83,5.84
84,5.75
85,5.81
86,5.48
87,5.23
88,5.63
89,6.26
90,6.15
91,5.95
92,5.93
93,5.88
94,5.74
95,5.64
96,5.45
97,5.83
98,6.27
99,6.29
100,6.06
101,5.87
102,5.75
103,5.72
104,5.73
105,5.75
106,5.71
107,5.63
108,5.93
109,5.86
110,5.72
111,5.58
112,5.7
113,5.82
114,5.77
115,6.07
116,6.33
117,6.27
118,6.15
119,6.25
120,6.32
121,6.51
122,6.6
123,6.68
124,6.76
125,6.52
126,6.4
127,6.36
128,6.24
129,6.14
130,6.22
131,6.29
132,6.16
133,6.18
134,6.26
135,6.66
136,6.7
137,6.57
138,6.38
139,6.38
140,6.21
141,6.1
142,5.76
143,5.92
144,5.97
145,5.92
146,6.04
147,6.32
148,6.43
149,6.48
150,6.04
151,6.2
152,6.09
153,5.33
154,5.06
155,5.13
156,5
157,4.81
158,4.86
159,5.42
160,5.22
161,5.19
162,5.06
163,4.95
164,4.88
165,4.93
166,5.03
167,4.99
168,4.97
169,5.1
170,4.89
171,4.74
172,4.56
173,4.43
174,4.35
175,4.23
176,4.3
177,4.71
178,4.76
179,4.95
180,4.84
181,4.84
182,4.64
183,4.51
184,4.55
185,4.27
186,4.11
187,4.07
188,3.99
189,3.96
190,3.92
191,3.89
192,3.95
193,3.91
194,3.8
195,3.68
196,3.55
197,3.6
198,3.5
199,3.38
200,3.35
201,3.35
202,3.41
203,3.53
204,3.57
205,3.45
206,3.54
207,4.07
208,4.37
209,4.46
210,4.49
211,4.19
212,4.26
213,4.46
